svenska,engelska
att erkänna,to admit
gängse,"common, current"
klämskada,crush injury
säkring,fuse
ljusbåge,electric arc
dyna,"pad, cushion"
anlagt,laid out
tillfällighet,coincidence
att råka,to happen to
fundersam,pensive
dåd,"deed, act"
inslag,element
gärningsman,perpetrator
översta,top (adj)
ark,sheet of paper
att kartlägga,"to map, chart"
att skänka,to give
tröst,comfort
genast,immediately
bråk,brawl
avsikt,intent
förövare,perpetrator
att påträffa,to encounter
att säkra,to secure
avgjutning,casting (like a plaster cast)
avgörande,crucial
otymplig,"ungainly, awkward"
rimlig,reasonable
skalbagge,beetle
skyldig,guilty
att knuffa,to push
famn,"armful, bosom"
foaje,foyer
kvav,muggy
att strunta,to ignore
att klandra,to blame
att skoja,to joke
att bekymra,to worry
onödig,unnecessary
efterlysning,missing person report
skallgång,search
att sammanställa,to compile
