svenska,engelska
""" ""-aktiga",""" ""-like"
affär,shop
akterdäck,aft deck
alldeles,"just about, right"
allmänt,generally
allvarlig,serious
ämne,subject
ändå,"even so, nevertheless"
ängsligt,anxious
aning,idea
annars,otherwise
annat,"other, otherwise"
annorlunda,different (unusual)
ansikte,face
antal,quantity
antingen,either
äntligen,"finally, at last"
ärlig,honest
åsikt,opinion
åsyn,sight (eg. At the sight of something)
åter,once more
återigen,again
åtminstone,"at least, leastwise"
att åka skidor,to go skiing
att ana,to have a feeling
att ange,"to state, indicate"
att ankra,to anchor
att anlända,to arrive
att anmäla,"to announce, to notify"
att anmärka,to remark
att ansöka,to apply (for a job)
att anta,"to assume, to suppose, to adopt"
att antyda,"to hint, to imply"
att använda,to use
att åtala,to prosecute
att återskapa,to recreate
att avbilda,to depict
att avbryta,"to cancel, to interrupt"
att avslöja,to reveal
att avsluta,to finish
att avstå,"to abstain, to give up"
att befinna sig,to be located at
att beklaga,to regret
att belställa,to order
att belysa,to illuminate
att berätta,to tell
att bero,"to depend, be dependant"
att besöka,to visit
att betrakta,to observe
att betyda,"to mean, signify"
att bilda,to form
att bjuda,to invite
att blicka,to gaze
att blir,to become
att börja,to begin
att breda,to spread
att brinna,to burn
att bromsa,to brake
att bruka,to use to / to cultivate / to employ
att bygga,"to build, construct"
att byta,to change
att dämpa,"to dampen, to suppress, to subdue"
att dimpa,"to flop, fall, tumble"
att diskutera,to discuss
att döma,"to sentence, to doom"
att dröja,to be delayed
att dröja sig kvar,to linger
att duka,to set the table
att dyka,to dive
att efterträda,"to succeed (someone), to come after"
att få,to get (receive)
att fånga,to catch
att fängsla,to imprison
att fatta,"to cotton on, to grasp"
att fira,to celebrate
att flaxa,"to flap, flutter"
att förbli,to remain
att fördriva,"to expel, drive out"
att förfölja,"to haunt, to persecute"
att förklara,to explain
att förlora,to lose
att förmå,"to manage, to be able to"
att försöka,to attempt
att förstå,to understand
att försvara,to defend
att försvinna,to disappear
att förtjäna,to deserve
att förtöja,too moor (a boat)
att fortsätta,to continue
att framhärda,"to persevere, persist"
att framträda,"to appear, stand out"
att fungera,to function
att glida,to slide
att glömma,"to forget, to neglect"
att gnola,to hum
att godta,"too accept, to approve"
att granska,to examine
att grilla,"to grill, barbeque"
att gripa,"to seize, to apprehend"
att gunga,"to swing, rock"
att ha bråttom,to be in a hurry
att hålla,"to hold, keep from doing something"
att hålla tummarna,to cross fingers (hold thumbs)
att hamna,to end up
att hända,to happen
att hände,"to happen, to occur"
att hantera,"to manage, to handle"
att härstamma,to originate
att hinna,to have time to
att hoppas,to hope
att iaktta,to observe
att inleda,to initiate
att innebära,"to mean, infer"
att invända,to object
att känna,"to feel, to know (someone)"
att kliva,"to step, to climb (into a car)"
att knäcka,to crack
att koka,to boil
att köra,to drive
att krama,to hug
att laga,to fix
att lägga,"to add, to put, to place"
att lämna,to leave
att låna,to borrow
att längta,"to long for, look forward to"
att lära,to learn/teach
att låta bli,"to help (but do something), to refrain"
att låta bra,to sound good
att latsås,to pretend
att låtsas,to pretend
att le,to smile
att lösa,to solve / resolve
att lukta,to smell
att luta,"to lean, tilt"
att måla,to paint
att märka,to notice
att missa,"to miss, to fail"
att misstänka,to suspect
att motivera,"to motivate, to warrant"
att mullra,"to mumble, rumble, grumble"
att närma,to approach
att nicka,to nod
att nudda,to touch
att odla,to grow (a plant)
att öka,to increase
att önska,to wish
att ordna,to arrange
att orka,to manage
att oroa,to worry
att överskatta,to overrate
att övertyga,to convince
att pågå,"to go on, to proceed"
att påverka,to affect
att pladdra,"to prattle, to chatter"
att planera,to plan
att plugga,to study
att precisera,to specify
att prova,to try
att pröva,to put to the test
att pussa,to kiss
att räcka,"to be enough, to suffice"
att rädda,to rescue
att raka,to shave
att råka,"to do something unintentionally, by chance"
att räkna,to count / to reckon
att rätta,"to correct, rectify, adjust"
att ro,to row
att ropa,to shout
att röra,to move
att rösta,to vote
att rusa,to dash
att ruska,to shake
att rycka,to twitch
att rysa,to shudder
att sakna,"to miss, to lack"
att samla,to collect
att sänka,"to lower, bring down"
att sätta,to put
att sippra,"to seep, trickle"
att sjuda,to simmer
att skaffa,to get (acquire)
att skala,to peel (potatoes etc)
att skapa,to create
att skifta,"to shift, change"
att skrocka,to chuckle
att skumma,"to froth, skim"
att slå,"to beat, strike"
att slänga,to throw
att slippa,to not have to
att smaka,to taste
att smalna,to narrow
att somna,to fall asleep
att spana,to scout
att spara,"to save up, put aside"
att spegla,"to reflect, mirror"
att spola,"to rinse, to flush"
att sprida,to diffuse
att stå,to stand
att städa,to clean
att ställa,"to place, to pose"
att stämma,"to agree with, to add up"
att stelna,to stiffen
att stöta,to bump
att stötta,to support
att stressa,"to stress, worry"
att styra,"to steer, control"
att sy,to sew
att synas,"to appear, to be seen"
att ta bort,to remove
att tåla,to tolerate
att tänka,to think
att täta,to seal
att tiga,to be quiet
att tilkännage,to announce
att tillbringa,to spend time
att tillhöra,to belong to
att tillverka,to manufacture
att tina,to defrost
att tjuta,to howl
att tolka,to interpret
att träffa,to meet
att trösta,"to comfort, to cheer up"
att trumma,to drum
att trycka,to press
att turnera,to tour
att tvinga,"to force, compel"
att umgås,"to socialise, to associate"
att underhålla,to maintain / to entertain
att undgå,to avoid
att uppdra,to draw up
att uppmana,to urge
att uppmärksamma,to pay attention
att upprepa,to repeat
att upptäcka,"to discover, detect"
att uttala,"to express, to pronounce"
att vågar,to dare to
att vägra,to refuse
att vakna,to wake
att välja,to choose
att vända,to turn
att vandra,to hike
att verka,to seem
att vicka,"to shake, to wiggle"
att vila,to rest
att viska,to whisper
att vittna,to testify
att vrida,to turn
även,"including, as well"
avundsjuk,envious
axel,shoulder
backspegel,rearview mirror
badlakan,towel
badrum,bathroom
bakfull,hungover
baklänges,backwards
bakom,behind
barnvakt,babysitter
begänsad,limited
begåvning,talent
bekant,"familiar, known, noted"
beklagande,regretfully
berättelse,"story, narrative"
berömd,famous
beställning,"order, shipment"
besviken,disappointed
besynnerligt,"strangely, odd"
betong,concrete
billig,cheap
bilverkstad,mechanics garage
bindande,binding
bland,among
blänkande,glistening
blåsväder,windy weather
blick,glance
boasering,panneling
bolag,company
bomull,cotton
borta,away
bortvänd,facing away
bostadsområde,community center
brandskada,burn (to skin)
brant,steep
bredvid,beside
brett,"widely, broadly"
bricka,tray
brist,"lack, shortage"
brott,crime
brysselkål,brussel sprouts
busshållplats,bus stop
då,"at that time, when"
damm,dust
däremot,however
därför,because
därifrån,thence
däruppe,"up there, upstairs"
del,"part, portion"
dimma,fog
dis,haze
doft,scent
dov,"muffled, aching"
drivande,"floating, driving"
duktig,"good, clever, capable"
dumheter,nonsense
duva,dove
dyster,"gloomy, dismal"
efteråt,afterwards
eftersom,since
egen,own
egentligen,actually
emot,"opposite, against"
enastående,outstanding
enda,only
enfarenhet,experience
enkelt,"simple, easy"
enligt,according to
ens,even
fackförening,trade union
fängelse,prison
färdig,finished
farlig,dangerous
färsk,fresh
fäste,"bracket, attachment"
fåtal,few
fläskig,fleshy
flesta,most
flinga,"flake, cereal"
flitig,diligent
föraning,foreboding
förbi,"past, by"
förbud,ban
